Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI
2015-01-01,667.8133333333333,2.11,13.46,4.57,12.15,169.57,25.92,1.35,3.93,640.3333333333334
2015-01-02,667.8133333333333,2.37,10.76,3.8,14,169.46,21.66,1.97,5.74,640.3333333333334
2015-01-03,667.8133333333333,2.27,12.43,4.22,12.78,169.77,22.4,1.83,4.76,640.3333333333334
2015-01-04,667.8133333333333,2.24,12.46,4.22,11.85,169.56,21.41,2.27,4.77,640.3333333333334
2015-01-05,667.8133333333333,2.32,12.27,4.22,13.34,169.48,20.6,2.49,4.78,640.3333333333334
2015-01-06,667.8133333333333,2.33,12.91,4.3,14.21,178.63,21.49,2.93,4.6,640.3333333333334
2015-01-07,667.8133333333333,2.68,17.12,4.64,11.24,169,23.67,2.92,3.82,640.3333333333334
2015-01-08,667.8133333333333,4.19,24.45,3.97,12.68,169,19.69,3.01,5.38,640.3333333333334
2015-01-09,667.8133333333333,4.27,24.74,3.13,13.99,182.39,21.73,2.52,4.78,640.3333333333334
2015-01-10,667.8133333333333,4.02,20.67,4.05,14.06,174.58,27.36,2.55,4.98,640.3333333333334
2015-01-11,667.8133333333333,3.53,18.77,4.22,15.69,178.93,27.51,2.49,4.78,640.3333333333334
2015-01-12,667.8133333333333,3.09,17.52,4.22,16.47,176.44,26.69,2.52,4.78,640.3333333333334
2015-01-13,667.8133333333333,3.39,15.84,5.15,11.81,187.02,30.22,2.18,2.62,640.3333333333334
2015-01-14,667.8133333333333,2.89,15.26,4.7,12.86,42.93,34.77,2.19,4.77,640.3333333333334
2015-01-15,667.8133333333333,2.44,8.73,5.06,11.83,107.72297811423302,36.26,1.63,2.79,640.3333333333334
2015-01-16,667.8133333333333,1.78,8.72,3.47,12.02,100.78517413383817,47.81,2.33,5.74,640.3333333333334
2015-01-17,667.8133333333333,2.15,5.4,4.3,10.27,87.87,34.72,2.02,4.54,640.3333333333334
2015-01-18,667.8133333333333,1.99,4.89,4.72,9.54,97.22785432109725,26.07,1.92,4.17,640.3333333333334
2015-01-19,667.8133333333333,3.38,8.14,4.22,13.28,106.76025943231744,31.2,2.15,4.76,640.3333333333334
2015-01-20,667.8133333333333,4.07,11.63,4.22,14.09,122.88663263007733,33.76,2.14,4.57,640.3333333333334
2015-01-21,667.8133333333333,16.81,19.67,4.22,13.49,135.08450392953216,25.41,2.77,3.87,640.3333333333334
2015-01-22,667.8133333333333,13.04,17.07,3.72,8.3,141.76,34.07,2.71,4.72,640.3333333333334
2015-01-23,667.8133333333333,5.72,15.33,3.3,8.56,139.65539298882192,49.69,2.71,5.35,640.3333333333334
2015-01-24,667.8133333333333,4.61,12.79,3.8,6.83,138.8809896978817,45.87,2.47,4.42,640.3333333333334
2015-01-25,667.8133333333333,3.78,10.64,3.05,12.66,135.9495189536688,58.79,2.79,5.73,640.3333333333334
2015-01-26,667.8133333333333,6.83,13.62,4.05,9.29,126.36574242424241,33.98,2.52,4,640.3333333333334
2015-01-27,667.8133333333333,6.68,20.12,3.61,9.94,105.71464114832536,31.3,2.68,4.86,640.3333333333334
2015-01-28,667.8133333333333,3.06,28.51,3.13,7.78,84.6319218870843,47.82,2.83,5.75,640.3333333333334
2015-01-29,667.8133333333333,2.42,21.54,2.21,12.85,74.59180987202924,56.81,3.14,7.29,640.3333333333334
2015-01-30,667.8133333333333,2.36,16.56,2.21,14.92,71.49286329901844,57.77,3.1,7.21,640.3333333333334
2015-01-31,667.8133333333333,6.4,18.36,3.96,11.48,70.67511658894071,43.57,2.65,4.17,640.3333333333334
2015-02-01,667.8133333333333,7.43,20.19,4.3,13.58,70.12,33.27,2.55,3.59,640.3333333333334
2015-02-02,667.8133333333333,3.08,18.3,3.13,15.41,71.28539468941487,46.3,2.78,5.61,640.3333333333334
2015-02-03,667.8133333333333,3.71,14.16,4.14,15.62,74.38405843782354,35.58,2.36,3.79,640.3333333333334
