Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI
2015-01-01,36.63,3.26,17.33,10.88,0.33,3.54,10.73,0.56,4.64,100.66666666666666
2015-01-02,36.63,6.05,19.73,14.14,1.35,3.97,22.77,0.65,5.31,100.66666666666666
2015-01-03,36.63,11.91,19.88,20.72,17.4,13.61,12.03,0.53,19.25,100.66666666666666
2015-01-04,36.63,7.45,21.61,16.88,5.05,6.52,17.7,0.55,7.47,100.66666666666666
2015-01-05,36.63,9.52,22.17,21.76,1.83,4.71,12.72,0.4,4.36,100.66666666666666
2015-01-06,36.63,6.6,23.2,16.24,0.52,4.42,13.82,22.68,4.11,100.66666666666666
2015-01-07,36.63,22.6,28.66,30.84,1.46,5.13,16.98,34.66,8.65,100.66666666666666
2015-01-08,36.63,7.5,31.1,21.16,2.3,7.07,17.35,31,8.6,100.66666666666666
2015-01-09,36.63,6.75,25.98,15.03,0.54,12.84,16.27,30.51,8.44,100.66666666666666
2015-01-10,36.63,3.38,29.23,16.76,1.69,3.08,25.01,36.42,13.41,100.66666666666666
2015-01-11,36.63,3.97,29.84,17.49,2.59,8.2,16.07,44.91,27.67,100.66666666666666
2015-01-12,36.63,10.85,28.4,21.85,0.61,7.16,16.41,38.04,41.87,100.66666666666666
2015-01-13,36.63,10.65,30.56,22.9,0.63,6.51,10.34,39.44,14.6,100.66666666666666
2015-01-14,36.63,9.09,25.94,19.43,1.83,8.66,16.47,27.38,8.7,100.66666666666666
2015-01-15,36.63,6.79,20.64,15.92,3.29,6.24,19.35,25.84,15.67,100.66666666666666
2015-01-16,36.63,10.74,18.51,22.36,16.41,19.28,16.02,25.14,36.72,100.66666666666666
2015-01-17,36.63,8.17,17.37,21.64,15.98,24.91,14.33,24.29,21.54,100.66666666666666
2015-01-18,36.63,6.16,17.2,18.79,9.04,22.18,22.48,23.23,20.05,100.66666666666666
2015-01-19,36.63,7.83,16.74,19.44,8.09,27.99,23.34,21.14,14.85,100.66666666666666
2015-01-20,36.63,10.44,7.24,22.66,4.05,92.66,103.68,36.25,9.93,100.66666666666666
2015-01-21,36.63,7.02,5.45,18.26,18.3,82.07,46.04056154057436,25.79235831781976,19.707921842097235,100.66666666666666
2015-01-22,36.63,17.15,13.57,29.6,3.32,57.51,41.95,23.36,39.25,100.66666666666666
