Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI
2015-01-01,165.35333333333332,16.3,15.39,22.68,1.17,9.2,11.35,0.17,7.124897959183674,330
2015-01-02,165.35333333333332,16.49,13.42,23.09,1.23,8.61,9.16,0.13,7.124897959183674,330
2015-01-03,165.35333333333332,9.72,19.56,9.99,0.77,48.23,13.45,0.03,7.124897959183674,330
2015-01-04,165.35333333333332,9.6,16.2,11.71,1,27.96,10.33,0.29245255798468534,7.124897959183674,330
2015-01-05,165.35333333333332,9.16,16.3,12.94,0.9,16.6,9.36,0.4877345392013248,7.124897959183674,330
2015-01-06,165.35333333333332,30.58,35.6,13.42,0.91,21.98,12.61,0.57,7.124897959183674,330
2015-01-07,165.35333333333332,43.92,46.38,13.32,1.22,28.13,13.94,0.2,7.124897959183674,330
2015-01-08,165.35333333333332,26.74,37.79,10.98,1.15,21.26,38.29,0.97,3.54,330
2015-01-09,165.35333333333332,39.24,42.65,10.52,1.31,22.82,27.34,3.1,14.68,330
2015-01-10,165.35333333333332,10.2,19.17,11.15,0.98,17.36,27.19,0.04,9.537142857142856,330
2015-01-11,165.35333333333332,55.04,49.87,14.65,0.8,21.75,19.04,0.39,6.964,330
2015-01-12,165.35333333333332,23.78,30.31,15.71,1.07,28.51,18.32,0.1,3.689090909090909,330
2015-01-13,165.35333333333332,48.95,64.35,12.73,0.97,16.44,17.25,0.78,0.96,330
2015-01-14,165.35333333333332,29.88,38.23,15.74,1.22,20.32,23.68,2.67,1.818571667689561,330
2015-01-15,165.35333333333332,18.58,23.87,12.97,1.01,21.92,14.1,0.24,1.8211420923488735,330
2015-01-16,165.35333333333332,12.29,18.39,12.51,1.17,13.18,13.22,0.14,1.8325884709548186,330
2015-01-17,165.35333333333332,9.57,17.4,12.93,1.7,10.44,26.34,0.03,1.8808954565505074,330
2015-01-18,165.35333333333332,24.48,30.7,9.26,1.12,11.33,29.08,0.09,2.071046808510639,330
2015-01-19,165.35333333333332,42.76,41.8,9.43,2.35,9.72,27.45,0.31,2.706268656716418,330
