Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI
2015-01-01,313.22,69.16,36.39,110.59,15.2,9.25,41.68,14.36,24.86,472
2015-01-02,186.18,62.09,32.87,88.14,9.54,6.65,29.97,10.55,20.09,454
2015-01-03,87.18,25.73,30.31,47.95,10.61,2.65,19.71,3.91,10.23,143
2015-01-04,151.84,25.01,36.91,48.62,11.54,4.63,25.36,4.26,9.71,319
2015-01-05,146.6,14.01,34.92,38.25,9.2,3.33,23.2,2.8,6.21,325
2015-01-06,149.58,17.21,37.84,42.46,9.44,3.66,26.83,3.63,7.35,318
2015-01-07,217.87,26.99,40.15,52.41,9.78,5.82,28.96,4.93,9.42,353
2015-01-08,229.9,23.34,43.16,51.21,11.01,3.31,30.51,5.8,11.4,383
2015-01-09,201.66,19.18,38.56,45.6,11.09,3.48,32.94,5.25,11.12,375
2015-01-10,221.02,24.79,46.39,55.19,9.7,5.91,34.12,4.87,9.44,376
2015-01-11,205.41,28.46,47.29,57.88,10.98,5.54,50.37,5.93,10.59,379
2015-01-12,212.41,24.77,44.71,54.66,9.3,5.17,40.08,6.2,10.68,375
2015-01-13,197.61,34.28,45.88,62.95,11.52,5.95,39.54,5.18,9.5,366
2015-01-14,164.39,20.78,41.17,48.09,10.32,4.85,42.05,4.57,10.72,353
2015-01-15,166.19,47.91,56.7,79.73,10.81,6.94,43.25,6.98,20.55,340
2015-01-16,174.98,42.33,49.41,70.6,11.46,4.69,34.7,7.75,15.83,356
2015-01-17,196.46,42.18,53.04,80.18,8.87,5.13,25.77,9.92,17.59,360
2015-01-18,201.51,45.51,53.77,75.83,8.99,5.43,23.22,9,20.95,370
2015-01-19,183.35,27.32,39.88,55.67,9.02,4.21,25.34,5.57,12.93,362
2015-01-20,165.63,16.47,34.23,37.68,8.03,4.11,22.69,3.42,6.76,340
2015-01-21,159.54,12.27,22.56,33.02,9.01,7.05,18.56,4.1,8.26,338
2015-01-22,143.68,14.75,21.82,34.88,10.58,8.64,6.94,4.15,9.54,332
2015-01-23,128.73,11.99,17.35,29.46,8.74,6.77,10.91,2.51,7.64,254
2015-01-24,164.98,10.38,15.77,25.49,9.39,8.89,9.35,2.6,5.5,324
2015-01-25,148.59,11.82,20.83,28.29,11.44,5.96,16.65,3.37,6.98,333
2015-01-26,129.34,12.46,25.66,29.48,10.19,6.78,18.18,3,5.87,292
2015-01-27,154.2,14.41,30.39,34.63,10.36,6.42,17.11,3.31,6.31,318
2015-01-28,134.6,18.96,28.6,35.57,10.21,5.21,15.23,3.27,6.86,295
2015-01-29,173.13,23.14,38.34,48.89,11.74,5.53,16.29,4.02,9.84,327
2015-01-30,178.04,19.8,38.43,44.45,11.58,6.43,14.91,3.65,6.61,345
2015-01-31,158.59,30.67,41.36,57.77,8.7,5.03,17.51,4.36,8.98,334
2015-02-01,211.59,57.56,58.17,93.17,13.08,9.9,23.28,6.65,15.45,358
2015-02-02,163.64,13.7,37.25,39.34,10.59,5.31,28.38,2.53,4.69,349
2015-02-03,157.71,12.28,31.05,34.1,8.21,5.64,28.56,2.13,4.24,334
2015-02-04,137.26,15.21,29.69,36.06,9.11,5.06,15.07,3.04,6.31,313
2015-02-05,131.76,23.15,36.51,47.4,8.18,4.85,21.7,4.92,10.17,262
2015-02-06,151.6,46.66,67,84.76,5.51,9.13,33.92,9.46,19.7,303
2015-02-07,160.75,37.54,57.69,71.68,10.28,6.91,43.44,5.5,14.95,329
2015-02-08,145.34,30.54,50.39,61.78,5.39,8.66,30.43,2.42,6.5,323
2015-02-09,134.67,19.95,39.18,44.48,5.11,9.7,20.62,2.59,3.17,266
2015-02-10,153.07,23.41,42.2,48.01,10.88,5.81,19.02,5.58,7.1,319
2015-02-11,116.91,33.79,53.63,64.04,12.64,7.54,27.17,5.96,5.59,334
2015-02-12,177.98,30.48,42.73,58.19,13.75,9.2,25.58,3.5,7.38,342
2015-02-13,167.01,32.23,44.61,55.13,11.26,7.77,27.62,3.53,7.69,341
2015-02-14,193.96,81.47,53.81,107.76,11.73,9.36,34.22,9.01,17.88,377
2015-02-15,184.06,44.16,58.15,75.98,13.78,9.13,40.91,4.79,8.98,391
2015-02-16,152.62,24.32,44.22,49.67,11.55,6.79,34.36,2.84,5.37,358
2015-02-17,161.27,23.71,25.4,42.76,10.3,5.6,41.62,3.04,5.62,327
2015-02-18,188.2,69.2,60.29,104.31,16.23,8.65,36.54,8.34,16.27,365
2015-02-19,159.97,24.53,40.51,47.8,13.11,5.08,31.88,3.11,6.12,352
2015-02-20,144.12,18.1,34.71,40.32,11.45,5.93,31.61,2.35,6.76,317
2015-02-21,155.38,35.51,45.11,57.91,14.21,12.24,30.11,4.69,16.48,320
2015-02-22,124.1,15.38,31.83,32.15,9.73,5.68,27.19,0.88,3.13,279
2015-02-23,141.39,21.95,38.23,42.71,9.29,9.43,36.86,2.02,11.23,281
2015-02-24,170.16,36.04,48.4,60.78,14.17,9.28,37.39,4.28,22.47,354
2015-02-25,148.19,14.79,29.28,34.14,14.13,5.94,31.57,2.06,6.92,340
2015-02-26,140.78,11.34,20.95,26.65,13.61,6.98,28.72,1.81,6.96,323
2015-02-27,130.42,13.85,24.75,31.46,12.78,12.12,34.08,2.14,8.56,315
2015-02-28,105.86,9.21,20.65,25.3,11.8,12.48,41.38,1.97,7.83,310
2015-03-01,71.83,8.49,21.42,19.55,11.62,10.99,22.51,1.38,4.63,324
2015-03-02,53.71,11.02,13.43,20.48,10.19,3.21,22.08,0.91,3.45,226
2015-03-03,83.49,16.23,23.75,30.88,11.72,5.07,20.83,2.13,8.11,266
2015-03-04,91.07,13.71,24.28,28.73,10.64,4.68,25.83,1.6,8.05,200
2015-03-05,106.57,25.97,31.12,45.48,9.36,5.97,32.88,3.27,15.12,275
2015-03-06,101.75,20.56,26.59,34.17,10.55,5.96,33.67,2.45,9.31,322
2015-03-07,77.57,12.07,19.15,24.66,9.48,5.18,23.09,1.68,6.31,216
2015-03-08,63.24,13.52,20.35,27.44,8.19,3.98,20.71,1.69,6.09,108
2015-03-09,76.62,10.49,18.21,22.84,9.02,4.2,22.85,1.12,4.32,197
2015-03-10,86.7,11.44,18.82,25.78,7.98,3.84,25.87,1.51,5.62,238
2015-03-11,104.29,14.94,25.63,32.66,10.76,6.3,29.62,2.32,7.74,274
2015-03-12,115.93,18.48,32.29,37.84,11.3,7.03,35.05,2.9,12.42,315
