Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,AQI
2015-01-01,0,0,0,27.38,0,0,0,0,0,0
2015-01-02,0,0,0,26.2,0,0,0,0,0,0
2015-01-03,0,0,0,26.04,0,0,0,0,0,0
2015-01-04,0,0,0,25.97,0,0,0,0,0,0
2015-01-05,0,0,0,25.18,0,0,0,0,0,0
2015-01-06,0,0,0,26.41,0,0,0,0,0,0
2015-01-07,0,0,0,27.08,0,0,0,0,0,0
2015-01-08,0,0,0,27.48,0,0,0,0,0,0
2015-01-09,0,0,0,27.22,0,0,0,0,0,0
2015-01-10,0,0,0,28.03,0,0,0,0,0,0
2015-01-11,0,0,0,27.57,0,0,0,0,0,0
2015-01-12,0,0,0,28.44,0,0,0,0,0,0
2015-01-13,0,0,0,29.15,0,0,0,0,0,0
2015-01-14,0,0,0,28.59,0,0,0,0,0,0
2015-01-15,0,0,0,27.83,0,0,0,0,0,0
2015-01-16,0,0,0,27.1,0,0,0,0,0,0
2015-01-17,0,0,0,27.21,0,0,0,0,0,0
2015-01-18,0,0,0,27.89,0,0,0,0,0,0
2015-01-19,0,0,0,26.78,0,0,0,0,0,0
2015-01-20,0,0,0,25.39,0,0,0,0,0,0
2015-01-21,0,0,0,25.04,0,0,0,0,0,0
2015-01-22,0,0,0,24.28,0,0,0,0,0,0
2015-01-23,0,0,0,26.51,0,0,0,0,0,0
2015-01-24,0,0,0,26.59,0,0,0,0,0,0
2015-01-25,0,0,0,26.27,0,0,0,0,0,0
2015-01-26,0,0,0,26.86,0,0,0,0,0,0
2015-01-27,0,0,0,27.26,0,0,0,0,0,0
2015-01-28,0,0,0,26.45,0,0,0,0,0,0
2015-01-29,0,0,0,26.3,0,0,0,0,0,0
2015-01-30,0,0,0,25.64,0,0,0,0,0,0
2015-01-31,0,0,0,27.34,0,0,0,0,0,0
2015-02-01,0,0,0,27.25,0,0,0,0,0,0
2015-02-02,0,0,0,26,0,0,0,0,0,0
2015-02-03,0,0,0,28.16,0,0,0,0,0,0
2015-02-04,0,0,0,29.13,0,0,0,0,0,0
2015-02-05,0,0,0,28.98,0,0,0,0,0,0
2015-02-06,0,0,0,28.69,0,0,0,0,0,0
2015-02-07,0,0,0,27.46,0,0,0,0,0,0
2015-02-08,0,0,0,26.77,0,0,0,0,0,0
2015-02-09,0,0,0,28.25,0,0,0,0,0,0
2015-02-10,0,0,0,28.48,0,0,0,0,0,0
2015-02-11,0,0,0,27.56,0,0,0,0,0,0
2015-02-12,0,0,0,27.86,0,0,0,0,0,0
2015-02-13,0,0,0,28,0,0,0,0,0,0
2015-02-14,0,0,0,28.2,0,0,0,0,0,0
2015-02-15,0,0,0,25.99,0,0,0,0,0,0
2015-02-16,0,0,0,25.47,0,0,0,0,0,0
2015-02-17,0,0,0,26.31,0,0,0,0,0,0
2015-02-18,0,0,0,25.14,0,0,0,0,0,0
2015-02-19,0,0,0,25.22,0,193.86,0,0,0,0
2015-02-20,0,0,0,25.44,0,193.86,0,0,0,0
2015-02-21,0,0,0,26.82,0,193.86,0,0,0,0
2015-02-22,0,0,0,27.54,0,193.86,0,0,0,0
2015-02-23,0,0,0,29.02,0,193.86,0,0,0,0
2015-02-24,0,0,0,26.68,0,193.86,0,0,0,0
2015-02-25,0,0,0,26.41,0,193.86,0,0,0,0
2015-02-26,0,0,0,26.85,0,193.86,0,0,0,0
2015-02-27,0,0,0,26.84,0,193.86,0,0,0,0
2015-02-28,0,0,0,25.4,0,193.86,0,0,0,0
2015-03-01,0,0,0,24.76,0,193.86,0,0,0,0
2015-03-02,0,0,0,27.32,0,193.86,0,0,0,0
2015-03-03,0,0,0,27.16,0,193.86,0,0,0,0
2015-03-04,0,0,0,27.37,0,193.86,0,0,0,0
2015-03-05,0,0,0,28.75,0,193.86,0,0,0,0
2015-03-06,0,0,0,30.51,0,193.8541945131069,0,0,0,0
2015-03-07,0,0,0,27.12,0,193.8541945131069,0,0,0,0
2015-03-08,0,0,0,27.07,0,193.8541945131069,0,0,0,0
2015-03-09,0,0,0,44.83,0,193.8541945131069,0,0,0,0
2015-03-10,0,0,0,148.63,0,193.8541945131069,0,0,0,0
